sampleID	community	div	div.rda	level	MVP1.4	Q2.87	CHA0	F113	Phl1c2	Pf.5	M1.96	Q8R1.96	breadth	connectance	nestedness	FD	dissim	siderophore(SU)	IAA	p.solu	Gas	pd.pseu	toxin1	toxin2	inhib.rs	inhib.fus	inhib.rhizo	inhib.py	DAPG ppm	phlD20	phlD_ck	16S	ck16s	di_20	NH4	NO3	WSOC	WSON	N	C	CNRatio	DNAc	promote	dryweight	K.ppm	P.ppm	Fe.ppm	Plant.N	bce15	bce25	bce35	RDA1	RDA2	PC1	PC2	PC3	PC4	pae	otu.richness	otu.shannon	PD	SR	otu.alpha	otu.evenness	value
s39	39	4	10	2	1	0	0	0	1	1	0	1	77.08	0.614583333	22.85144717	0.400768389	0.205644032	0.721503389	14.30553904	658.5	331.8103206	0.3145	65.23929472	61.18733424	71.01083861	9.67	10.75	18.75	3885.29	7.947062207	6.357337894	10.82	11.02	0	1.51	20.738	123.4163284	41.85197449	0.2633221	2.41	9.152289155	29.7	23.85185185	1.67	29.990195	4.343555	0.1755975	36455.35744	100	79.83193277	67.89297659	-0.03145	-1.492955	0.97161	3.35756	-1.53582	1.136789	0.628778119	3586	6.436514094	222.5254	3494	1075.31295	0.786399163	0.617576829
s40	40	4	10	2	0	1	1	0	1	0	1	0	75	0.588541667	16.72969961	0.470867269	0.241581853	0.70222	14.22702322	638.6	349.931788	0.3859	50.43508131	50.09168606	59.91519043	8	5.75	10.5	2705.88	7.577767771	6.357337894	10.64	11.02	0.125	1.519	3.752	107.801712	23.44455814	0.239901	2.05	8.545191558	27.7	29.70370371	1.75	29.987985	4.109455	0.1576047	36843.35744	75.25773195	73.1092437	75.91973244	0.83889	-1.907416	-4.39625	-1.41517	1.19866	3.480522	0.608761277	2747	6.202538457	186.82683	2693	746.8340206	0.783320425	0.642229228
s41	41	4	10	2	1	0	1	0	0	1	0	1	72.92	0.59375	18.68397244	0.375747248	0.223487792	0.708379544	10.15186066	587.4	335.900524	0.2747	65.54843143	60.46530667	70.28881104	12.17	11.5	12.5	3976.47	7.850492369	6.357337894	10.6	11.02	0	1.669	32.233	102.9983	39.0013	0.2600876	2.252	8.657806062	28	19.37037037	1.61	36.933613	4.178755	0.20928925	39144.09197	100	86.55462185	81.93979933	0.87152	-2.730128	0.28706	-2.54975	1.31643	0.009493	0.580318348	3519	6.421548506	229.20909	3424	1052.534288	0.786382791	0.760220877
s42	42	4	10	2	0	0	1	1	0	1	1	0	72.92	0.598958333	17.61546093	0.431406395	0.237072961	0.683548983	10.63348819	605.6	325.939226	0.2777	65.72998791	58.76092866	68.58443303	12.33	9.5	11	2220.59	7.944952197	6.357337894	10.61	11.02	0	1.529	12.209	92.57165527	43.05303955	0.230098	2.136	9.283023929	27.9	38.96296297	1.875	35.9417875	4.29703	0.19828925	36266.29508	100	100	91.97324415	0.11658	-2.014217	0.59003	0.97613	-3.73252	-2.403454	0.581944708	3062	6.396351189	197.75845	2941	864.5424352	0.796872029	0.741787832
s43	43	4	10	2	1	0	1	1	0	0	0	1	68.75	0.583333333	17.77555892	0.365618941	0.180637296	0.460295749	10.60093285	617.6	348.4971812	0.2925	49.22797607	58.88372247	68.70722683	6.5	7.5	7.75	2588.24	7.836784609	6.357337894	10.66	11.02	0	1.5908	12.008	99.89201	36.00931	0.267659	2.257	8.43247565	43.3	46.85185186	1.98	28.5175	4.0876725	0.21036875	40353.93274	100	96.63865546	85.95317726	-0.19593	-2.069764	-1.25003	0.71885	-0.04748	0.329152	0.600968486	3200	6.265007122	208.84577	3113	917.6779578	0.776245821	0.787832582
s44	44	4	10	2	0	0	1	0	1	0	1	1	75	0.598958333	17.67527607	0.423275041	0.218642785	0.749907579	14.06137399	608.6	364.0608661	0.3241	44.10023228	40.57271032	50.39621469	8	8	8	1176.47	7.955106586	6.357337894	10.53	11.02	0.0625	1.502	31.172	91.88303375	62.49799347	0.240098	1.979	8.242142792	18.1	46.88888889	1.98	28.122	4.2584025	0.1748275	39156.11899	87.62886598	63.02521008	75.91973244	-0.35543	-1.951453	0.68554	3.1554	-0.46335	-2.940694	0.657284029	3188	6.531282847	208.29046	3085	914.1145473	0.809614749	0.74334302
s45	45	8	0	2	1	1	1	1	1	1	1	1	79.17	0.596354167	25.55814243	0.64059253	0.198753703	0.790486752	14.5266281	502.9	364.139792	0.4441	67.67313292	60.24918957	70.07269394	13.4	10.25	13.5	3352.94	7.934485526	6.357337894	10.67	11.02	0	1.099	18.521	101.525322	50.67706299	0.250098	2.341	9.360298763	22.4	48.44444445	2.07	36.474695	4.16882	0.2867	35655.68006	100	96.63865546	95.98662207	4.81556	-3.289715	-2.40157	1.43427	2.3774	2.897928	0.582867246	3384	6.34765021	222.82449	3263	994.2516261	0.781074899	0.763277877
s46	46	8	0	2	1	1	1	1	1	1	1	1	79.17	0.596354167	25.69972232	0.64059253	0.198753703	0.772643253	14.64258256	502.9	364.072199	0.4441	67.48666951	60.26392483	70.0874292	13.2	9.75	12.25	4035.29	7.912958563	6.357337894	10.68	11.02	0	1.223	25.816	155.808136	51.86365509	0.250065	2.323	9.291224282	29.3	48.81481482	2.04	37.9450165	4.155185	0.2909255	34382.20775	100	86.55462185	87.95986622	6.30243	-2.941092	0.06593	-1.49865	-2.30595	-2.723599	0.585449534	3534	6.492816799	232.85509	3430	1052.312484	0.79469636	0.71961135
s47	47	8	0	2	1	1	1	1	1	1	1	1	79.17	0.596354167	25.6243765	0.64059253	0.198753703	0.786814541	14.4742523	502.9	364.0775732	0.4441	68.04605974	60.46776255	70.29126691	12.6	10.25	12.5	2461.76	7.9113833	6.357337894	10.63	11.02	0	1.552	30.311	109.1252899	50.61153793	0.2597	2.342	9.018559877	14.9	48.77777778	2.05	37.505225	4.1800575	0.27587325	35655.68006	100	96.63865546	93.97993311	6.65951	-2.929461	-0.94936	-2.89489	3.85385	-3.029912	0.642142403	3670	6.809419419	240.6858	3580	1106.450893	0.829612992	0.7661363
s48	48	8	0	2	1	1	1	1	1	1	1	1	79.17	0.596354167	25.55814243	0.64059253	0.198753703	0.774491682	14.27872876	502.9	364.0856007	0.4441	68.45824202	60.54782411	70.37132847	11.25	10.5	13.25	2708.82	7.958225787	6.357337894	10.63	11.02	0	1.638	21.613	85.20256805	43.96484756	0.24445	2.168	8.868357537	17.3	47.33333333	1.984	34.871625	4.1309775	0.252346	34382.20775	100	100	91.97324415	5.5903	-2.425109	2.64145	1.29134	-2.80875	1.511147	0.600606087	3589	6.440380914	224.67191	3502	1078.467898	0.786791217	0.687210771
s49	49	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.346571422	6.357337894	11.01	11.02	0.333333333	1.982	20.009	120.9831	68.0093	0.23112	2.112	9.136465905	43.2	0	1.154285714	33.4843	3.6334	0.1365025	39937.25549	0	0	0	0.86471	4.622598	-3.13911	0.56049	-1.62943	2.397889	0.539196535	3038	5.954057495	198.52808	2961	855.9817331	0.74249796	0.491898998
s50	50	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.345543186	6.357337894	11.03	11.02	0.5	1.9982	24.982	125.001	72.0012	0.242318	2.111	8.713054746	35.8	0	1.35	34.9997	3.5977	0.12803	40781.20102	0	0	0	1.10242	5.109342	-2.00157	1.08559	0.84188	0.512311	0.591428742	3065	6.222099115	202.07197	2996	864.1477755	0.775068749	0.563122548
s51	51	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.365381494	6.357337894	11.05	11.02	0.5625	2.0012	24.001	119.09102	68.9903	0.234562	2.123	9.051423504	41.3	0	1.407	36.3175	3.52725	0.131465	39902.61367	0	0	0	2.37546	5.921228	0.31795	-0.57657	-2.2647	-2.418231	0.600926751	3313	6.564644112	212.61575	3258	966.7264919	0.809889027	0.555574404
s52	52	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.335455472	6.357337894	10.99	11.02	0.625	2.00913	22.91	120.986	68.03134	0.242231	2.132	8.80069025	37.1	0	1.502	35.0455	3.64356	0.124075	40593.40322	0	0	0	1.12693	4.82681	-1.78987	-1.51061	-3.88754	0.164051	0.577349134	3028	6.207990926	204.52836	2942	849.6403661	0.774483046	0.58873475
